epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9803,1.44716,2.78892,1.70702,0.13216,0.27768,0.0993,0.03349,2.08397,3.18772,2.31829,0.000332143,0.000332143,0.0671179
2,105.354,1.28745,2.20424,1.56668,0.37094,0.49347,0.34195,0.19874,1.32245,2.27659,1.53538,0.000658888,0.000658888,0.0341113
3,161.11,1.23078,2.07786,1.53055,0.39518,0.46177,0.37085,0.23242,1.21589,2.16133,1.45607,0.000979033,0.000979033,0.00109808
4,218.591,1.19912,1.97446,1.49156,0.4318,0.50831,0.41375,0.31086,0.97092,1.80936,1.22304,0.0009703,0.0009703,0.0009703
5,276.344,1.1466,1.90067,1.46618,0.45431,0.49745,0.41189,0.2615,1.20131,2.02997,1.41739,0.0009604,0.0009604,0.0009604
6,327.925,1.12707,1.84528,1.44766,0.50374,0.51071,0.48968,0.3661,0.95878,1.71521,1.18857,0.0009505,0.0009505,0.0009505
7,374.381,1.08018,1.76916,1.40888,0.42329,0.47679,0.4155,0.31285,1.00143,1.91913,1.25416,0.0009406,0.0009406,0.0009406
8,420.705,1.0769,1.72217,1.41654,0.45874,0.53827,0.46182,0.36329,0.84834,1.80171,1.11225,0.0009307,0.0009307,0.0009307
9,467.019,1.03008,1.68149,1.37922,0.44684,0.53937,0.48245,0.38024,0.89355,1.69701,1.1267,0.0009208,0.0009208,0.0009208
10,519.661,1.01561,1.62198,1.36818,0.5537,0.54554,0.55231,0.44971,0.77507,1.45259,1.00569,0.0009109,0.0009109,0.0009109
11,565.691,1.0023,1.60158,1.36251,0.55336,0.61987,0.6156,0.48011,0.79445,1.3599,0.97983,0.000901,0.000901,0.000901
12,610.204,0.97321,1.54898,1.33856,0.5549,0.55285,0.57717,0.45933,0.74455,1.47124,0.97477,0.0008911,0.0008911,0.0008911
13,654.658,0.96223,1.53655,1.3356,0.55794,0.59555,0.59793,0.49668,0.73547,1.36523,0.95025,0.0008812,0.0008812,0.0008812
14,698.954,0.95717,1.51384,1.32835,0.62105,0.60756,0.61177,0.48024,0.80897,1.36632,0.99042,0.0008713,0.0008713,0.0008713
15,743.244,0.95942,1.49177,1.33207,0.54692,0.55982,0.56677,0.47164,0.69316,1.44332,0.94031,0.0008614,0.0008614,0.0008614
16,787.605,0.94885,1.47745,1.32126,0.57923,0.62954,0.62532,0.50198,0.77053,1.3306,0.95489,0.0008515,0.0008515,0.0008515
17,832.106,0.94089,1.45033,1.31814,0.60117,0.60818,0.64902,0.52347,0.69751,1.28342,0.90871,0.0008416,0.0008416,0.0008416
18,876.394,0.91381,1.4352,1.29992,0.6055,0.63929,0.63927,0.53296,0.69032,1.27616,0.92163,0.0008317,0.0008317,0.0008317
19,921.802,0.91504,1.41116,1.30097,0.6133,0.62433,0.65463,0.53198,0.72506,1.24357,0.91428,0.0008218,0.0008218,0.0008218
20,967.223,0.90422,1.40244,1.29081,0.62846,0.63364,0.66343,0.54631,0.68673,1.21158,0.88409,0.0008119,0.0008119,0.0008119
21,1011.54,0.89587,1.35769,1.28088,0.5974,0.66965,0.66493,0.55808,0.64648,1.15766,0.85633,0.000802,0.000802,0.000802
22,1056.08,0.8873,1.3896,1.28773,0.65865,0.6343,0.67764,0.57357,0.63615,1.16576,0.84334,0.0007921,0.0007921,0.0007921
23,1100.61,0.87719,1.34629,1.27474,0.63268,0.63675,0.67416,0.5646,0.64173,1.16342,0.83157,0.0007822,0.0007822,0.0007822
24,1144.91,0.86603,1.34497,1.26902,0.60643,0.62779,0.64938,0.55084,0.63373,1.1911,0.83207,0.0007723,0.0007723,0.0007723
25,1189.34,0.87047,1.33725,1.27468,0.6446,0.64997,0.68469,0.55005,0.71912,1.16629,0.91171,0.0007624,0.0007624,0.0007624
26,1235.96,0.85595,1.31033,1.25903,0.61871,0.65081,0.67931,0.56764,0.65328,1.16622,0.86277,0.0007525,0.0007525,0.0007525
27,1283.75,0.86306,1.29429,1.27318,0.61952,0.63873,0.66776,0.55986,0.65522,1.17515,0.84938,0.0007426,0.0007426,0.0007426
28,1331.56,0.85523,1.28683,1.25784,0.649,0.67926,0.69672,0.60025,0.57128,1.07688,0.78653,0.0007327,0.0007327,0.0007327
29,1379.32,0.84611,1.28688,1.25569,0.63409,0.69252,0.6971,0.597,0.60012,1.0668,0.79886,0.0007228,0.0007228,0.0007228
30,1424.56,0.8444,1.25723,1.25497,0.61333,0.64508,0.65677,0.55004,0.66387,1.21226,0.87336,0.0007129,0.0007129,0.0007129
31,1469.16,0.82618,1.23416,1.24183,0.62561,0.66175,0.68862,0.58645,0.608,1.11595,0.7956,0.000703,0.000703,0.000703
32,1513.59,0.8195,1.23002,1.23903,0.64609,0.68694,0.70006,0.6137,0.58081,1.04838,0.79009,0.0006931,0.0006931,0.0006931
33,1557.79,0.82893,1.23963,1.2479,0.65714,0.66187,0.71312,0.6175,0.5941,1.06751,0.79081,0.0006832,0.0006832,0.0006832
34,1603.37,0.8131,1.2167,1.23559,0.65294,0.68382,0.70624,0.60871,0.5631,1.02788,0.75528,0.0006733,0.0006733,0.0006733
35,1647.72,0.81385,1.19971,1.23409,0.66189,0.64032,0.67953,0.58282,0.59196,1.0922,0.79804,0.0006634,0.0006634,0.0006634
36,1691.93,0.81941,1.21974,1.24387,0.70406,0.64777,0.69753,0.60097,0.59238,1.04203,0.7845,0.0006535,0.0006535,0.0006535
37,1736.26,0.79044,1.17644,1.22144,0.64203,0.69103,0.70057,0.61154,0.56774,1.0657,0.77506,0.0006436,0.0006436,0.0006436
38,1780.58,0.79222,1.18236,1.21838,0.66878,0.64339,0.69964,0.60328,0.5701,1.0853,0.75409,0.0006337,0.0006337,0.0006337
39,1824.95,0.7872,1.15786,1.22221,0.65544,0.696,0.71779,0.62492,0.57362,1.05886,0.74864,0.0006238,0.0006238,0.0006238
40,1869.24,0.79,1.13289,1.2135,0.6635,0.64241,0.69468,0.60788,0.58632,1.05915,0.78268,0.0006139,0.0006139,0.0006139
41,1913.22,0.78796,1.15886,1.21322,0.63971,0.69468,0.71263,0.62418,0.58112,1.01682,0.78305,0.000604,0.000604,0.000604
42,1957.22,0.7651,1.13068,1.20634,0.70773,0.66311,0.72985,0.64195,0.53713,0.98915,0.74132,0.0005941,0.0005941,0.0005941
43,2001.18,0.75955,1.1249,1.19989,0.68329,0.66948,0.71084,0.62329,0.54043,1.05052,0.73598,0.0005842,0.0005842,0.0005842
44,2045.26,0.75252,1.11242,1.19306,0.65411,0.69538,0.73113,0.63971,0.5445,1.00403,0.73064,0.0005743,0.0005743,0.0005743
45,2089.22,0.7717,1.11903,1.20824,0.66562,0.69033,0.72823,0.64859,0.50814,0.98909,0.71225,0.0005644,0.0005644,0.0005644
46,2133.74,0.7534,1.09343,1.19329,0.67538,0.69001,0.74203,0.65662,0.52305,0.95988,0.72866,0.0005545,0.0005545,0.0005545
47,2177.75,0.75218,1.09228,1.19036,0.68886,0.69035,0.7389,0.62975,0.60471,1.00346,0.80036,0.0005446,0.0005446,0.0005446
48,2221.94,0.74222,1.08333,1.19407,0.674,0.70318,0.75571,0.65182,0.56073,0.99125,0.74488,0.0005347,0.0005347,0.0005347
49,2266,0.73841,1.0752,1.18191,0.69198,0.70474,0.74339,0.64476,0.5594,0.97161,0.75402,0.0005248,0.0005248,0.0005248
50,2310.12,0.73632,1.0559,1.18273,0.64188,0.70302,0.71345,0.62826,0.52737,1.02231,0.73472,0.0005149,0.0005149,0.0005149
51,2354.11,0.72838,1.07153,1.17971,0.70276,0.68767,0.74934,0.65296,0.54745,0.96047,0.72903,0.000505,0.000505,0.000505
52,2398.12,0.74062,1.06383,1.19007,0.71067,0.68694,0.74877,0.6511,0.54369,0.95787,0.74315,0.0004951,0.0004951,0.0004951
53,2442.1,0.73253,1.0558,1.18236,0.6959,0.70873,0.74181,0.64503,0.55992,0.96469,0.73505,0.0004852,0.0004852,0.0004852
54,2486.06,0.7218,1.04891,1.17988,0.68874,0.68073,0.72253,0.64275,0.51595,1.0122,0.73313,0.0004753,0.0004753,0.0004753
55,2530.21,0.7144,1.05293,1.17192,0.69164,0.7155,0.75578,0.66469,0.53444,0.94455,0.71198,0.0004654,0.0004654,0.0004654
56,2574.41,0.71157,1.01603,1.16857,0.70015,0.69275,0.73817,0.65118,0.53407,0.95414,0.72936,0.0004555,0.0004555,0.0004555
57,2618.42,0.71678,1.01979,1.1702,0.72439,0.70042,0.75139,0.66321,0.50083,0.93254,0.69816,0.0004456,0.0004456,0.0004456
58,2662.48,0.71395,1.01519,1.16932,0.72153,0.6779,0.74195,0.65469,0.52592,0.96788,0.71786,0.0004357,0.0004357,0.0004357
59,2706.44,0.70322,1.0012,1.16914,0.70998,0.67346,0.73118,0.64914,0.52493,0.99173,0.7348,0.0004258,0.0004258,0.0004258
60,2751.9,0.70102,1.0012,1.16417,0.68964,0.69262,0.73841,0.65363,0.52032,0.95416,0.72065,0.0004159,0.0004159,0.0004159
61,2797.4,0.69424,1.00189,1.15351,0.67591,0.70526,0.72898,0.63364,0.53822,0.99583,0.73023,0.000406,0.000406,0.000406
62,2842.91,0.68157,0.98101,1.14959,0.69983,0.71518,0.75739,0.66419,0.52297,0.93783,0.72791,0.0003961,0.0003961,0.0003961
